keyword,search_volume,cpc,competition_level,low_bid,high_bid,difficulty,estimated_traffic,trend_monthly,competitor_domain,suggested_min_bid,suggested_max_bid,bid_strategy
1-year mortgage rates ontario,210,2.0399999618530273,MEDIUM,0.6399999856948853,1.950000047683716,0,63.84000015258789,0,www.ratehub.ca,0.5119999885559082,2.3400000572204593,Standard
10 year mortgage rate history canada,70,0.0,LOW,0.0,0.0,0,21.280000686645508,0,www.ratehub.ca,0.0,0.0,Standard
10-year mortgage rate history canada,70,0.0,LOW,0.0,0.0,0,21.280000686645508,0,www.ratehub.ca,0.0,0.0,Standard
2 demerit points insurance increase ontario,70,2.299999952316284,LOW,2.490000009536743,6.599999904632568,0,21.280000686645508,-20,www.ratehub.ca,1.9920000076293947,7.919999885559082,Standard
2 year fixed mortgage rates,720,1.690000057220459,MEDIUM,0.5799999833106995,1.829999923706055,0,218.8800048828125,-19,www.ratehub.ca,0.46399998664855957,2.195999908447266,Standard
2 year gic rates,140,1.0,LOW,0.4099999964237213,1.9600000381469729,0,42.560001373291016,0,www.ratehub.ca,0.3279999971389771,2.3520000457763675,Standard
2-year fixed mortgage rates canada,140,1.6299999952316284,MEDIUM,0.5099999904632568,1.819999933242798,0,42.560001373291016,-18,www.ratehub.ca,0.40799999237060547,2.1839999198913578,Standard
25 year fixed rate mortgage,170,1.2999999523162842,LOW,0.4900000095367431,1.5299999713897705,0,51.68000030517578,-18,www.ratehub.ca,0.3920000076293945,1.8359999656677246,Standard
3 demerit points insurance ontario,50,4.869999885559082,LOW,6.150000095367432,18.940000534057617,0,15.199999809265137,25,www.ratehub.ca,4.920000076293945,22.72800064086914,Aggressive
3 month interest penalty calculator,70,0.8399999737739563,LOW,0.0,0.0,0,21.280000686645508,80,www.ratehub.ca,0.0,0.0,Aggressive
3 months interest penalty calculator,70,0.8399999737739563,LOW,0.0,0.0,0,21.280000686645508,80,www.ratehub.ca,0.0,0.0,Aggressive
3 year fixed mortgage rates ontario,260,1.5899999141693115,MEDIUM,0.5799999833106995,1.950000047683716,0,79.04000091552734,-57,www.ratehub.ca,0.46399998664855957,2.3400000572204593,Standard
3 year fixed rate canada,70,1.7899999618530271,MEDIUM,0.6000000238418579,2.380000114440918,0,21.280000686645508,33,www.ratehub.ca,0.48000001907348633,2.8560001373291013,Aggressive
3 year fixed rate mortgage,5400,1.7200000286102295,MEDIUM,0.5799999833106995,1.8700000047683716,0,1641.5999755859375,0,www.ratehub.ca,0.46399998664855957,2.2440000057220457,Standard
3 year fixed rates,390,1.1399999856948853,LOW,0.5699999928474426,1.7400000095367432,0,118.55999755859375,-19,www.ratehub.ca,0.4559999942779541,2.0880000114440915,Standard
3 year gic rates,110,0.550000011920929,LOW,0.3000000119209289,2.0,0,33.439998626708984,-21,www.ratehub.ca,0.24000000953674314,2.4,Standard
3 year mortgage rates,5400,1.7200000286102295,MEDIUM,0.5799999833106995,1.8700000047683716,0,1641.5999755859375,0,www.ratehub.ca,0.46399998664855957,2.2440000057220457,Standard
3 year variable mortgage rates ontario,170,1.6299999952316284,HIGH,0.5199999809265137,1.9100000858306885,0,51.68000030517578,0,www.ratehub.ca,0.41599998474121097,2.292000102996826,Conservative
3-year gic rates,110,0.550000011920929,LOW,0.3000000119209289,2.0,0,33.439998626708984,-21,www.ratehub.ca,0.24000000953674314,2.4,Standard
3-year variable mortgage rates,320,2.180000066757202,MEDIUM,0.550000011920929,2.0899999141693115,0,97.27999877929688,24,www.ratehub.ca,0.4400000095367432,2.507999897003174,Aggressive
3-year variable mortgage rates ontario,170,1.6299999952316284,HIGH,0.5199999809265137,1.9100000858306885,0,51.68000030517578,0,www.ratehub.ca,0.41599998474121097,2.292000102996826,Conservative
30 day gic,140,2.4600000381469727,MEDIUM,0.6100000143051147,2.7200000286102295,0,42.560001373291016,27,www.ratehub.ca,0.48800001144409183,3.2640000343322755,Aggressive
30-day gic,140,2.4600000381469727,MEDIUM,0.6100000143051147,2.7200000286102295,0,42.560001373291016,27,www.ratehub.ca,0.48800001144409183,3.2640000343322755,Aggressive
3yr fixed rate mortgage,110,0.9700000286102296,MEDIUM,0.4900000095367431,1.600000023841858,0,33.439998626708984,-33,www.ratehub.ca,0.3920000076293945,1.9200000286102294,Standard
5 year fixed mortgage,14800,1.600000023841858,LOW,0.4900000095367431,1.7400000095367432,0,4499.2001953125,-33,www.ratehub.ca,0.3920000076293945,2.0880000114440915,Standard
5 year fixed mortgage rate history,70,0.0,LOW,0.0,0.0,0,21.280000686645508,-25,www.ratehub.ca,0.0,0.0,Standard
5 year fixed mortgage rates calgary,110,1.6200000047683716,MEDIUM,0.5600000023841858,2.2100000381469727,0,33.439998626708984,-29,www.ratehub.ca,0.4480000019073487,2.6520000457763673,Standard
5 year fixed mortgage rates canada,4400,1.2200000286102295,LOW,0.4199999868869781,1.649999976158142,0,1337.5999755859375,-19,www.ratehub.ca,0.3359999895095825,1.9799999713897705,Standard
5 year fixed mortgage rates toronto,90,4.059999942779541,LOW,0.8500000238418579,2.930000066757202,0,27.360000610351562,-29,www.ratehub.ca,0.6800000190734864,3.5160000801086424,Standard
5 year fixed mortgages,14800,1.600000023841858,LOW,0.4900000095367431,1.7400000095367432,0,4499.2001953125,-33,www.ratehub.ca,0.3920000076293945,2.0880000114440915,Standard
5 year gic,140,2.430000066757202,LOW,0.2399999946355819,2.319999933242798,0,42.560001373291016,-18,www.ratehub.ca,0.19199999570846552,2.7839999198913574,Standard
5 year gic rate canada,590,2.259999990463257,LOW,0.3300000131130218,1.829999923706055,0,179.36000061035156,0,www.ratehub.ca,0.26400001049041744,2.195999908447266,Standard
5 year gic rates,210,1.2200000286102295,LOW,0.3300000131130218,1.6600000858306885,0,63.84000015258789,24,www.ratehub.ca,0.26400001049041744,1.9920001029968262,Aggressive
5 year gic rates canada,590,2.259999990463257,LOW,0.3300000131130218,1.829999923706055,0,179.36000061035156,0,www.ratehub.ca,0.26400001049041744,2.195999908447266,Standard
5 year mortgage canada,70,1.4900000095367432,MEDIUM,0.3000000119209289,1.7200000286102295,0,21.280000686645508,-43,www.ratehub.ca,0.24000000953674314,2.0640000343322753,Standard
5 year mortgage rates toronto,90,4.059999942779541,LOW,0.8500000238418579,2.930000066757202,0,27.360000610351562,-29,www.ratehub.ca,0.6800000190734864,3.5160000801086424,Standard
5 year variable closed vs open,260,0.9100000262260436,LOW,0.1400000005960464,1.7100000381469729,0,79.04000091552734,0,www.ratehub.ca,0.11200000047683711,2.052000045776367,Standard
5 year variable mortgage rates bc,70,1.7400000095367432,MEDIUM,0.6800000071525574,1.7899999618530271,0,21.280000686645508,-29,www.ratehub.ca,0.5440000057220459,2.1479999542236325,Standard
5 years fixed,390,1.319999933242798,LOW,0.6399999856948853,2.0199999809265137,0,118.55999755859375,-19,www.ratehub.ca,0.5119999885559082,2.423999977111816,Standard
5-year fixed mortgage rates,14800,1.600000023841858,LOW,0.4900000095367431,1.7400000095367432,0,4499.2001953125,-33,www.ratehub.ca,0.3920000076293945,2.0880000114440915,Standard
5-year fixed mortgage rates alberta,260,1.399999976158142,MEDIUM,0.5899999737739563,1.579999923706055,0,79.04000091552734,-19,www.ratehub.ca,0.4719999790191651,1.8959999084472658,Standard
5-year fixed mortgage rates calgary,110,1.6200000047683716,MEDIUM,0.5600000023841858,2.2100000381469727,0,33.439998626708984,-29,www.ratehub.ca,0.4480000019073487,2.6520000457763673,Standard
5-year fixed mortgage rates canada,4400,1.2200000286102295,LOW,0.4199999868869781,1.649999976158142,0,1337.5999755859375,-19,www.ratehub.ca,0.3359999895095825,1.9799999713897705,Standard
5-year fixed mortgage rates chart,210,2.109999895095825,LOW,0.4300000071525574,1.930000066757202,0,63.84000015258789,27,www.ratehub.ca,0.3440000057220459,2.3160000801086422,Aggressive
5-year fixed mortgage rates history,70,0.0,LOW,0.0,0.0,0,21.280000686645508,-25,www.ratehub.ca,0.0,0.0,Standard
5-year fixed mortgage rates toronto,90,4.059999942779541,LOW,0.8500000238418579,2.930000066757202,0,27.360000610351562,-29,www.ratehub.ca,0.6800000190734864,3.5160000801086424,Standard
5-year gic rates,210,1.2200000286102295,LOW,0.3300000131130218,1.6600000858306885,0,63.84000015258789,24,www.ratehub.ca,0.26400001049041744,1.9920001029968262,Aggressive
5-year mortgage rates alberta,260,1.399999976158142,MEDIUM,0.5899999737739563,1.579999923706055,0,79.04000091552734,-19,www.ratehub.ca,0.4719999790191651,1.8959999084472658,Standard
5-year mortgage rates toronto,90,4.059999942779541,LOW,0.8500000238418579,2.930000066757202,0,27.360000610351562,-29,www.ratehub.ca,0.6800000190734864,3.5160000801086424,Standard
5-year variable mortgage rates ontario,70,1.1399999856948853,MEDIUM,0.5199999809265137,1.680000066757202,0,21.280000686645508,75,www.ratehub.ca,0.41599998474121097,2.0160000801086424,Aggressive
5yr fixed rate mortgage,210,0.9900000095367432,MEDIUM,0.4099999964237213,1.600000023841858,0,63.84000015258789,-21,www.ratehub.ca,0.3279999971389771,1.9200000286102294,Standard
accelerated weekly vs weekly,90,0.0,LOW,0.0,0.0,0,27.360000610351562,29,www.ratehub.ca,0.0,0.0,Aggressive
aeroplan dollar value,70,0.0,LOW,0.0,0.0,0,21.280000686645508,40,www.ratehub.ca,0.0,0.0,Aggressive
aeroplan miles to dollars,90,0.0,LOW,0.0,0.0,0,27.360000610351562,100,www.ratehub.ca,0.0,0.0,Aggressive
aeroplan points cash value,70,0.0,LOW,0.0,0.0,0,21.280000686645508,-29,www.ratehub.ca,0.0,0.0,Standard
aeroplan to dollars,140,0.0,LOW,0.0,0.0,0,42.560001373291016,-18,www.ratehub.ca,0.0,0.0,Standard
airline credit cards,320,11.199999809265137,HIGH,2.0899999141693115,11.149999618530272,0,97.27999877929688,-19,www.ratehub.ca,1.6719999313354492,13.379999542236325,Conservative
airline credit cards canada,90,9.880000114440918,HIGH,1.75,11.329999923706056,0,27.360000610351562,-22,www.ratehub.ca,1.4000000000000001,13.595999908447267,Conservative
alberta auto loan rates,110,4.199999809265137,MEDIUM,1.2300000190734863,4.880000114440918,0,33.439998626708984,-18,www.ratehub.ca,0.9840000152587891,5.856000137329102,Standard
alberta mortgage insurance,170,7.380000114440918,HIGH,2.4800000190734863,10.460000038146973,0,51.68000030517578,-18,www.ratehub.ca,1.984000015258789,12.552000045776367,Conservative
alberta mortgage rates calculator,170,0.6800000071525574,HIGH,0.2000000029802322,0.8799999952316284,0,51.68000030517578,27,www.ratehub.ca,0.16000000238418577,1.055999994277954,Conservative
alberta prime rate,210,1.4199999570846558,LOW,0.9300000071525574,3.700000047683716,0,63.84000015258789,0,www.ratehub.ca,0.7440000057220459,4.440000057220459,Standard
amex cobalt interest rate,210,10.9399995803833,LOW,5.360000133514404,34.9900016784668,0,63.84000015258789,24,www.ratehub.ca,4.288000106811523,41.98800201416015,Aggressive
amortization period vs term,70,0.0,LOW,0.0,0.0,0,21.280000686645508,-44,www.ratehub.ca,0.0,0.0,Standard
apartment insurance price,110,7.900000095367432,MEDIUM,1.7200000286102295,7.119999885559082,0,33.439998626708984,-18,www.ratehub.ca,1.3760000228881837,8.543999862670898,Standard
apply credit card online instant approval,50,23.280000686645508,MEDIUM,8.710000038146973,28.63999938964844,0,15.199999809265137,0,www.ratehub.ca,6.968000030517579,34.36799926757813,Standard
approbation hypothécaire finale,70,4.570000171661377,MEDIUM,1.0399999618530271,6.289999961853027,0,21.280000686645508,-40,www.ratehub.ca,0.8319999694824217,7.5479999542236325,Standard
are gic rates going up,90,2.200000047683716,LOW,1.25,4.880000114440918,0,27.360000610351562,22,www.ratehub.ca,1.0,5.856000137329102,Aggressive
are property taxes paid monthly,70,0.0,LOW,0.0,0.0,0,21.280000686645508,-29,www.ratehub.ca,0.0,0.0,Standard
assurance auto moins cher montréal,170,27.15999984741211,HIGH,8.920000076293945,22.6299991607666,0,51.68000030517578,-21,www.ratehub.ca,7.136000061035157,27.155998992919923,Conservative
assurance auto quebec prix,110,21.829999923706055,HIGH,4.369999885559082,15.359999656677246,0,33.439998626708984,-55,www.ratehub.ca,3.4959999084472657,18.431999588012694,Conservative
assurance invalidité prix,140,12.119999885559082,HIGH,3.2899999618530273,10.489999771118164,0,42.560001373291016,0,www.ratehub.ca,2.631999969482422,12.587999725341797,Conservative
assurance locataire moins cher,70,27.15999984741211,HIGH,7.610000133514404,23.63999938964844,0,21.280000686645508,29,www.ratehub.ca,6.088000106811524,28.367999267578128,Conservative
assurance prêt hypothécaire prix,90,7.889999866485596,HIGH,2.700000047683716,10.229999542236328,0,27.360000610351562,-22,www.ratehub.ca,2.160000038146973,12.275999450683594,Conservative
atm fees canada,110,0.0,LOW,0.0,0.0,0,33.439998626708984,0,www.ratehub.ca,0.0,0.0,Standard
auto finance rates canada,4400,3.180000066757202,MEDIUM,0.9700000286102296,3.7300000190734863,0,1337.5999755859375,0,www.ratehub.ca,0.7760000228881837,4.476000022888184,Standard
auto financing best rates,480,5.190000057220459,HIGH,1.5899999141693115,5.369999885559082,0,145.9199981689453,0,www.ratehub.ca,1.2719999313354493,6.443999862670898,Conservative
auto insurance companies best,880,20.43000030517578,MEDIUM,4.960000038146973,24.190000534057617,0,267.5199890136719,-12,www.ratehub.ca,3.968000030517578,29.028000640869138,Standard
auto insurance companies in canada list,70,12.859999656677246,MEDIUM,2.7799999713897705,23.229999542236328,0,21.280000686645508,0,www.ratehub.ca,2.2239999771118164,27.875999450683594,Standard
auto insurance cost monthly,260,6.829999923706055,MEDIUM,1.340000033378601,6.039999961853027,0,79.04000091552734,-33,www.ratehub.ca,1.0720000267028809,7.247999954223633,Standard
auto insurance quotes toronto,880,25.309999465942383,MEDIUM,9.029999732971191,25.81999969482422,0,267.5199890136719,-18,www.ratehub.ca,7.223999786376954,30.98399963378906,Standard
auto loan interest rates current,260,3.059999942779541,MEDIUM,0.9200000166893004,2.690000057220459,0,79.04000091552734,0,www.ratehub.ca,0.7360000133514404,3.2280000686645507,Standard
auto loan low interest,320,6.529999732971191,HIGH,2.3499999046325684,7.150000095367432,0,97.27999877929688,-19,www.ratehub.ca,1.8799999237060547,8.580000114440917,Conservative
auto loan low interest rates,110,5.050000190734863,MEDIUM,1.5299999713897705,6.179999828338623,0,33.439998626708984,-18,www.ratehub.ca,1.2239999771118164,7.415999794006347,Standard
auto loan lowest interest rate,110,5.050000190734863,MEDIUM,1.5299999713897705,6.179999828338623,0,33.439998626708984,-18,www.ratehub.ca,1.2239999771118164,7.415999794006347,Standard
auto loan lowest rates,210,5.489999771118164,HIGH,1.670000076293945,5.800000190734863,0,63.84000015258789,-19,www.ratehub.ca,1.3360000610351561,6.960000228881836,Conservative
auto loan rates canada,4400,3.180000066757202,MEDIUM,0.9700000286102296,3.7300000190734863,0,1337.5999755859375,0,www.ratehub.ca,0.7760000228881837,4.476000022888184,Standard
auto loan with lowest interest rate,110,5.050000190734863,MEDIUM,1.5299999713897705,6.179999828338623,0,33.439998626708984,-18,www.ratehub.ca,1.2239999771118164,7.415999794006347,Standard
auto loans comparison,140,3.119999885559082,LOW,1.309999942779541,5.940000057220459,0,42.560001373291016,0,www.ratehub.ca,1.047999954223633,7.128000068664551,Standard
auto loans low rates,210,5.489999771118164,HIGH,1.670000076293945,5.800000190734863,0,63.84000015258789,-19,www.ratehub.ca,1.3360000610351561,6.960000228881836,Conservative
auto loans lowest rate,210,5.489999771118164,HIGH,1.670000076293945,5.800000190734863,0,63.84000015258789,-19,www.ratehub.ca,1.3360000610351561,6.960000228881836,Conservative
auto loans lowest rates,210,5.489999771118164,HIGH,1.670000076293945,5.800000190734863,0,63.84000015258789,-19,www.ratehub.ca,1.3360000610351561,6.960000228881836,Conservative
auto loans with lowest interest rate,110,5.050000190734863,MEDIUM,1.5299999713897705,6.179999828338623,0,33.439998626708984,-18,www.ratehub.ca,1.2239999771118164,7.415999794006347,Standard
average car insurance cost quebec,90,20.829999923706055,MEDIUM,5.940000057220459,17.75,0,27.360000610351562,-22,www.ratehub.ca,4.752000045776367,21.3,Standard
average car insurance cost toronto,90,12.789999961853027,MEDIUM,3.889999866485596,15.270000457763672,0,27.360000610351562,29,www.ratehub.ca,3.111999893188477,18.324000549316406,Aggressive
average car insurance for new drivers,70,6.050000190734863,MEDIUM,1.7000000476837158,9.670000076293944,0,21.280000686645508,0,www.ratehub.ca,1.3600000381469728,11.604000091552733,Standard
average car insurance in alberta,140,1.6399999856948853,LOW,0.949999988079071,3.990000009536743,0,42.560001373291016,0,www.ratehub.ca,0.7599999904632568,4.788000011444091,Standard
average car insurance in brampton,70,8.270000457763672,HIGH,1.9900000095367432,8.1899995803833,0,21.280000686645508,0,www.ratehub.ca,1.5920000076293945,9.827999496459961,Conservative
average car insurance in calgary,110,1.1399999856948853,LOW,0.6899999976158142,3.0899999141693115,0,33.439998626708984,-21,www.ratehub.ca,0.5519999980926514,3.7079998970031736,Standard
average car insurance in toronto,320,11.039999961853027,MEDIUM,3.880000114440918,13.829999923706056,0,97.27999877929688,-19,www.ratehub.ca,3.1040000915527344,16.59599990844727,Standard
average car insurance ontario by age,70,10.18000030517578,MEDIUM,2.1700000762939453,8.300000190734863,0,21.280000686645508,-29,www.ratehub.ca,1.7360000610351562,9.960000228881835,Standard
average car insurance toronto,320,11.039999961853027,MEDIUM,3.880000114440918,13.829999923706056,0,97.27999877929688,-19,www.ratehub.ca,3.1040000915527344,16.59599990844727,Standard
average condo insurance cost,90,15.6899995803833,MEDIUM,1.7300000190734863,7.239999771118164,0,27.360000610351562,0,www.ratehub.ca,1.3840000152587892,8.687999725341797,Standard
average cost of a car,70,0.0,LOW,0.0,0.0,0,21.280000686645508,-22,www.ratehub.ca,0.0,0.0,Standard
average cost of life insurance,210,8.279999732971191,LOW,3.0999999046325684,7.949999809265137,0,63.84000015258789,-18,www.ratehub.ca,2.479999923706055,9.539999771118163,Standard
average home insurance cost alberta,140,3.990000009536743,HIGH,1.850000023841858,6.529999732971191,0,42.560001373291016,0,www.ratehub.ca,1.4800000190734863,7.835999679565429,Conservative
average home insurance cost edmonton,90,10.170000076293944,MEDIUM,1.3799999952316284,5.550000190734863,0,27.360000610351562,-55,www.ratehub.ca,1.1039999961853029,6.660000228881835,Standard
average home insurance cost ontario,590,11.380000114440918,MEDIUM,3.0399999618530273,13.3100004196167,0,179.36000061035156,-18,www.ratehub.ca,2.431999969482422,15.972000503540038,Standard
average home insurance cost toronto,90,7.630000114440918,MEDIUM,2.809999942779541,8.819999694824219,0,27.360000610351562,-22,www.ratehub.ca,2.247999954223633,10.583999633789062,Standard
average home insurance costs ontario,590,11.380000114440918,MEDIUM,3.0399999618530273,13.3100004196167,0,179.36000061035156,-18,www.ratehub.ca,2.431999969482422,15.972000503540038,Standard
average home insurance ontario,390,10.640000343322754,HIGH,3.119999885559082,12.0,0,118.55999755859375,-19,www.ratehub.ca,2.4959999084472657,14.399999999999999,Conservative
average house insurance cost in ontario,590,11.380000114440918,MEDIUM,3.0399999618530273,13.3100004196167,0,179.36000061035156,-18,www.ratehub.ca,2.431999969482422,15.972000503540038,Standard
average house insurance cost ontario,590,11.380000114440918,MEDIUM,3.0399999618530273,13.3100004196167,0,179.36000061035156,-18,www.ratehub.ca,2.431999969482422,15.972000503540038,Standard
average house insurance in ontario,390,10.640000343322754,HIGH,3.119999885559082,12.0,0,118.55999755859375,-19,www.ratehub.ca,2.4959999084472657,14.399999999999999,Conservative
average house insurance ontario,390,10.640000343322754,HIGH,3.119999885559082,12.0,0,118.55999755859375,-19,www.ratehub.ca,2.4959999084472657,14.399999999999999,Conservative
average insurance cost for new driver,70,30.170000076293945,MEDIUM,1.6100000143051147,7.829999923706055,0,21.280000686645508,0,www.ratehub.ca,1.288000011444092,9.395999908447266,Standard
average insurance cost for new drivers,70,30.170000076293945,MEDIUM,1.6100000143051147,7.829999923706055,0,21.280000686645508,0,www.ratehub.ca,1.288000011444092,9.395999908447266,Standard
average interest rate savings account,260,2.7100000381469727,LOW,0.5400000214576721,2.25,0,79.04000091552734,-19,www.ratehub.ca,0.43200001716613773,2.6999999999999997,Standard
average mortgage rate toronto,110,2.619999885559082,LOW,0.8199999928474426,1.950000047683716,0,33.439998626708984,21,www.ratehub.ca,0.6559999942779542,2.3400000572204593,Aggressive
average tenant insurance cost,320,6.159999847412109,MEDIUM,1.819999933242798,7.519999980926514,0,97.27999877929688,0,www.ratehub.ca,1.4559999465942386,9.023999977111815,Standard
b lender mortgage calculator,70,2.7300000190734863,HIGH,0.9700000286102296,3.069999933242798,0,21.280000686645508,-29,www.ratehub.ca,0.7760000228881837,3.6839999198913573,Conservative
bad credit instant approval credit cards,70,14.649999618530272,HIGH,5.670000076293945,17.260000228881836,0,21.280000686645508,0,www.ratehub.ca,4.536000061035156,20.7120002746582,Conservative
balance transfer 0 interest credit card,170,8.039999961853027,MEDIUM,2.3600001335144043,10.100000381469728,0,51.68000030517578,-47,www.ratehub.ca,1.8880001068115235,12.120000457763673,Standard
balance transfer canada,110,8.279999732971191,HIGH,2.109999895095825,7.769999980926514,0,33.439998626708984,-36,www.ratehub.ca,1.6879999160766603,9.323999977111816,Conservative
balance transfer card,480,7.650000095367432,HIGH,2.369999885559082,10.170000076293944,0,145.9199981689453,0,www.ratehub.ca,1.8959999084472656,12.204000091552732,Conservative
balance transfer cards,480,7.650000095367432,HIGH,2.369999885559082,10.170000076293944,0,145.9199981689453,0,www.ratehub.ca,1.8959999084472656,12.204000091552732,Conservative
balance transfer cards canada,2400,7.300000190734863,HIGH,2.3899998664855957,10.520000457763672,0,729.5999755859375,-21,www.ratehub.ca,1.9119998931884767,12.624000549316406,Conservative
balance transfer cards for good credit,90,8.4399995803833,LOW,1.950000047683716,8.9399995803833,0,27.360000610351562,-58,www.ratehub.ca,1.560000038146973,10.72799949645996,Standard
balance transfer credit card,4400,8.539999961853027,HIGH,2.3399999141693115,9.710000038146973,0,1337.5999755859375,-19,www.ratehub.ca,1.8719999313354494,11.652000045776367,Conservative
balance transfer credit card no fee,90,7.449999809265137,MEDIUM,2.2300000190734863,9.119999885559082,0,27.360000610351562,-58,www.ratehub.ca,1.7840000152587892,10.943999862670898,Standard
balance transfer credit cards for good credit,90,8.4399995803833,LOW,1.950000047683716,8.9399995803833,0,27.360000610351562,-58,www.ratehub.ca,1.560000038146973,10.72799949645996,Standard
